TagCode,wells_detected,entiat_detected,upstream_detected,last_overall,last_upstream,last_detected_upstream,ReturnYear,rrf_anchor,group,ReturnMonth,ReturnSeason,wells_interaction,EntiatDetected,Harvest_Status,harvest_open,WellsYear,FallSpillHours,FallTotalSpill,SpringSpillHours,SpringTotalSpill
3DD.0077374B32,TRUE,TRUE,FALSE,2026-04-02T20:10:00Z,NA,FALSE,2025,2025-10-21T12:48:00Z,B,10,Fall,1,1,Open,1,NA,154,1423,58,793
3DD.00773750E1,TRUE,TRUE,FALSE,2026-04-08T00:14:00Z,NA,FALSE,2025,2025-08-31T19:39:00Z,B,8,Fall,1,1,Open,1,NA,154,1423,58,793
3DD.0077375783,TRUE,FALSE,FALSE,2024-09-29T14:53:00Z,NA,FALSE,2024,2024-09-25T14:48:00Z,B,9,Fall,1,0,Open,1,NA,47,697.3,26,306.4
3DD.0077386A62,TRUE,TRUE,FALSE,2025-04-11T23:03:00Z,NA,FALSE,2024,2024-08-05T10:50:00Z,B,8,Fall,1,1,Open,1,NA,47,697.3,26,306.4
3DD.0077576277,TRUE,FALSE,FALSE,2017-10-04T12:53:00Z,NA,FALSE,2017,2017-10-03T04:13:00Z,B,10,Fall,1,0,Closed,0,2017,523,4903.6,671,14036.5
3DD.007759D169,TRUE,TRUE,FALSE,2018-05-28T13:00:00Z,NA,FALSE,2017,2017-09-01T00:48:00Z,B,9,Fall,1,1,Closed,0,2017,523,4903.6,671,14036.5
3DD.0077746EFE,TRUE,FALSE,FALSE,2025-06-03T16:21:00Z,NA,FALSE,2024,2024-09-18T11:35:00Z,B,9,Fall,1,0,Open,1,NA,47,697.3,26,306.4
3DD.0077755804,TRUE,TRUE,FALSE,2022-05-25T12:36:00Z,NA,FALSE,2021,2021-07-15T12:30:00Z,B,7,Fall,1,1,Closed,0,2021,342,3912,346,7000.9
3DD.007775901E,TRUE,TRUE,FALSE,2026-04-07T18:52:00Z,NA,FALSE,2025,2025-09-29T13:42:00Z,B,9,Fall,1,1,Open,1,NA,154,1423,58,793
3DD.00777596D4,TRUE,TRUE,FALSE,2026-03-26T17:39:00Z,NA,FALSE,2025,2025-08-17T18:58:00Z,B,8,Fall,1,1,Open,1,NA,154,1423,58,793
